path,file_type,variables,units_if_known,date_range,spatial_resolution,temporal_resolution,count,missingness,role,notes,category
/home/mircore/Desktop/diff_hydro/Camels/basin_timeseries_v1p2_metForcing_obsFlow/basin_dataset_public_v1p2/shapefiles/merge/basinset_gf_nhru.shp,shp,,,,,,,,evaluation only,CAMELS basin polygons,basin_shapes
/home/mircore/Desktop/diff_hydro/outputs/Model6_ExternalValidation/gleam_basin_daily.csv,csv,"basin_id, date, product, variable, value",,,,,0 basins (sampled),nan,evaluation only,empty_table; GLEAM ET,independent_et
/home/mircore/Desktop/diff_hydro/outputs/Model6_ExternalValidation/gleam_basin_monthly.csv,csv,"basin_id, product, variable, year_month, value, temporal_aggregation",,,,,0 basins (sampled),nan,evaluation only,empty_table; GLEAM ET monthly,independent_et
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/Model6Closed_Snow_aSrz_SIMHYD_Simple_full671_ep100_iter200/independent_validation_grace_fluxcom/fluxcom_et_basin_monthly.parquet,parquet,"basin_id, fluxcom_et_mm_month, valid_pixel_fraction, date",,2001-01-31 to 2001-01-31,,,50 basins (sampled),0.380,evaluation only,FLUXCOM ET basin-month,independent_et
/home/mircore/Desktop/diff_hydro/outputs/Model6_ExternalValidation/MOD16A3GF_Model6_ET/model6_vs_mod16a3gf_annual_et_by_basin.csv,csv,"basin_id, gage_name, lat, lon, NSE, KGE, n_years, et_corr, et_rmse_mm_yr, et_bias_mm_yr, et_pbias_pct, et_kge, model6_et_mean_mm_yr, mod16_et_mean_mm_yr",,,,,50 basins (sampled),0.000,evaluation only,MOD16 annual ET cross-check,independent_et
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/ECO_INPUTS_2020/grace_jpl/raw/GRCTellus.JPL.200204_202603.GLO.RL06.3M.MSCNv04CRI.nc,nc,,,,,,,,evaluation only,JPL GRACE mascon,independent_twsa
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/Model6Closed_Snow_aSrz_SIMHYD_Simple_full671_ep100_iter200/independent_validation_grace_fluxcom/grace_twsa_basin_monthly.parquet,parquet,"basin_id, grace_twsa_mm, valid_pixel_fraction, date",,2002-04-30 to 2002-04-30,,,50 basins (sampled),0.380,evaluation only,JPL basin-month exploratory extraction,independent_twsa
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/Model6Closed_Snow_aSrz_SIMHYD_Simple_full671_ep100_iter200/independent_validation_grace_fluxcom/grace_twsa_per_basin_metrics.csv,csv,"basin_id, n_obs, R2, NSE, KGE, lat, lon, area_km2",,,,,50 basins (sampled),0.285,evaluation only,JPL basin metrics,independent_twsa
/home/mircore/Desktop/diff_hydro/results/validation/raw/esacci_sm,,,,,,,,,evaluation only,ESA CCI soil moisture,independent_twsa
/home/mircore/Desktop/diff_hydro/outputs/Model6_ExternalValidation/NSIDC0719_Model6_SWE,,,,,,,,,evaluation only,NSIDC SWE validation,independent_swe
null,,,,,,,,,evaluation only,missing_configured_path; GRACE CSR placeholder,independent_twsa
null,,,,,,,,,evaluation only,missing_configured_path; GRACE GSFC placeholder,independent_twsa
