variant,basin_id,parameter,min,max,mean,bound_low,bound_high,violation_count
Model6PhysicalFix_A_explicit_gate,1031500,CRAK_t,0.04322763532400131,0.9960144758224487,0.6511034965515137,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1031500,K_t,0.08531032502651215,0.08531032502651215,0.08531033992767334,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1031500,LG_t,0.045766379684209824,0.04628785699605942,0.045983292162418365,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1031500,TT,-0.9451841115951538,-0.9451841115951538,-0.9451839923858643,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1031500,CFMAX_t,2.5629663467407227,5.4655442237854,2.641767740249634,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1031500,CFR,0.04893605411052704,0.04893605411052704,0.04893605783581734,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1031500,CWH,0.013011349365115166,0.013011349365115166,0.013011349365115166,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1031500,SG_CRIT,100.54679870605469,100.54679870605469,100.54680633544922,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1031500,partition_sum_error,0.0,1.1920928955078125e-07,2.7997558049719373e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1031500,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1031500,unit_hydrograph_sum_error_max,5.960464477539063e-08,1.1920928955078125e-07,8.940696716308594e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1047000,INSC,1.386144995689392,1.386144995689392,1.3861448764801025,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1047000,COEF_t,280.7812194824219,280.7812194824219,280.7812194824219,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1047000,SQ_t,2.1049680709838867,5.618299961090088,3.1455583572387695,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1047000,SMSC,120.86599731445312,120.86599731445312,120.86597442626953,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1047000,SUB_t,0.0019447284284979105,0.9429852962493896,0.33544087409973145,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1047000,INTER_t,0.0002605683694127947,0.024237383157014847,0.00905938446521759,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1047000,RECH_t,0.0459895096719265,0.9977946281433105,0.6554996967315674,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1047000,CRAK_t,0.0459895096719265,0.9977946281433105,0.6554996967315674,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1047000,K_t,0.09098021686077118,0.09098021686077118,0.09098022431135178,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1047000,LG_t,0.05171137675642967,0.052234798669815063,0.051898665726184845,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1047000,TT,-0.8288120031356812,-0.8288120031356812,-0.8288119435310364,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1047000,CFMAX_t,2.4146885871887207,5.167227268218994,2.48549222946167,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1047000,CFR,0.04854056239128113,0.04854056239128113,0.04854056239128113,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1047000,CWH,0.014459277503192425,0.014459277503192425,0.014459277503192425,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1047000,SG_CRIT,101.94048309326172,101.94048309326172,101.94049072265625,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1047000,partition_sum_error,0.0,1.1178337899764301e-07,2.8195877632697375e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1047000,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1047000,unit_hydrograph_sum_error_max,0.0,1.7881393432617188e-07,5.960464477539063e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1052500,INSC,1.826136589050293,1.826136589050293,1.826136589050293,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1052500,COEF_t,270.83062744140625,270.83062744140625,270.83056640625,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1052500,SQ_t,1.9681251049041748,4.951662063598633,2.9952473640441895,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1052500,SMSC,117.00163269042969,117.00163269042969,117.00164031982422,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1052500,SUB_t,0.003027718048542738,0.8716509342193604,0.36496734619140625,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1052500,INTER_t,0.00038569100433960557,0.02951887995004654,0.010834760963916779,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1052500,RECH_t,0.11596721410751343,0.9965866208076477,0.6241979002952576,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1052500,CRAK_t,0.11596721410751343,0.9965866208076477,0.6241979002952576,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1052500,K_t,0.08852818608283997,0.08852818608283997,0.08852817863225937,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1052500,LG_t,0.05249771475791931,0.052934251725673676,0.05270073935389519,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1052500,TT,-0.894861102104187,-0.894861102104187,-0.894861102104187,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1052500,CFMAX_t,3.019132375717163,6.32349967956543,3.1112945079803467,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1052500,CFR,0.0452992208302021,0.0452992208302021,0.0452992245554924,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1052500,CWH,0.012073174118995667,0.012073174118995667,0.012073173187673092,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1052500,SG_CRIT,113.655029296875,113.655029296875,113.65502166748047,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1052500,partition_sum_error,0.0,1.1920928955078125e-07,2.6004380870858768e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1052500,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1052500,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,4.470348358154297e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1054200,INSC,1.7334158420562744,1.7334158420562744,1.733415961265564,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1054200,COEF_t,274.24932861328125,274.24932861328125,274.24932861328125,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1054200,SQ_t,2.236309051513672,5.621259689331055,3.3791637420654297,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1054200,SMSC,124.87364959716797,124.87364959716797,124.8736572265625,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1054200,SUB_t,0.006106938235461712,0.9900539517402649,0.387094646692276,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1054200,INTER_t,0.0006176127353683114,0.024973630905151367,0.01018998771905899,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1054200,RECH_t,0.007988998666405678,0.9932754635810852,0.6027153134346008,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1054200,CRAK_t,0.007988998666405678,0.9932754635810852,0.6027153134346008,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1054200,K_t,0.08932559937238693,0.08932559937238693,0.08932559937238693,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1054200,LG_t,0.05916339159011841,0.059762973338365555,0.0594036728143692,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1054200,TT,-0.8972604274749756,-0.8972604274749756,-0.8972606062889099,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1054200,CFMAX_t,2.4052834510803223,5.152952671051025,2.5064783096313477,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1054200,CFR,0.04815370589494705,0.04815370589494705,0.048153698444366455,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1054200,CWH,0.006563414353877306,0.006563414353877306,0.006563415285199881,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1054200,SG_CRIT,112.72257995605469,112.72257995605469,112.72258758544922,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1054200,partition_sum_error,0.0,1.1920928955078125e-07,2.6770059946557012e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1054200,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1054200,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,4.470348358154297e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1055000,INSC,1.831498384475708,1.831498384475708,1.8314982652664185,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1055000,COEF_t,266.352294921875,266.352294921875,266.352294921875,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1055000,SQ_t,2.2798380851745605,5.83162260055542,3.3997082710266113,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1055000,SMSC,114.94670867919922,114.94670867919922,114.94670867919922,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1055000,SUB_t,0.0029165472369641066,0.9565879106521606,0.3647629916667938,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1055000,INTER_t,0.00030354992486536503,0.021353211253881454,0.008309715427458286,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1055000,RECH_t,0.03863586485385895,0.9967799782752991,0.6269273161888123,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1055000,CRAK_t,0.03863586485385895,0.9967799782752991,0.6269273161888123,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1055000,K_t,0.08062779903411865,0.08062779903411865,0.08062779903411865,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1055000,LG_t,0.05214059725403786,0.052617136389017105,0.05234448239207268,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1055000,TT,-0.7374840378761292,-0.7374840378761292,-0.7374840974807739,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1055000,CFMAX_t,2.505539894104004,5.364811897277832,2.590170383453369,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1055000,CFR,0.04869561269879341,0.04869561269879341,0.04869561642408371,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1055000,CWH,0.009396176785230637,0.009396176785230637,0.009396177716553211,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1055000,SG_CRIT,113.0457534790039,113.0457534790039,113.0457534790039,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1055000,partition_sum_error,0.0,1.1920928955078125e-07,2.7132637470117515e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1055000,component_weight_sum_error,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1055000,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,2.9802322387695312e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1057000,INSC,1.551485538482666,1.551485538482666,1.551485300064087,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1057000,COEF_t,290.48828125,290.48828125,290.48828125,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1057000,SQ_t,1.9037015438079834,5.083034515380859,3.0735018253326416,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1057000,SMSC,190.7434539794922,190.7434539794922,190.74342346191406,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1057000,SUB_t,0.004397035576403141,0.961992621421814,0.3469563126564026,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1057000,INTER_t,0.0005817200290039182,0.03103422001004219,0.011823263950645924,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1057000,RECH_t,0.030032217502593994,0.9950212836265564,0.6412205100059509,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1057000,CRAK_t,0.030032217502593994,0.9950212836265564,0.6412205100059509,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1057000,K_t,0.08991951495409012,0.08991951495409012,0.08991951495409012,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1057000,LG_t,0.057280272245407104,0.05780336260795593,0.05752282217144966,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1057000,TT,-0.9453170895576477,-0.9453170895576477,-0.9453171491622925,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1057000,CFMAX_t,1.9548958539962769,4.188677787780762,2.0212509632110596,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1057000,CFR,0.04917842149734497,0.04917842149734497,0.04917841777205467,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1057000,CWH,0.011489616706967354,0.011489616706967354,0.01148961577564478,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1057000,SG_CRIT,109.41770935058594,109.41770935058594,109.41771697998047,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1057000,partition_sum_error,0.0,1.1124424759145768e-07,2.8380005900885408e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1057000,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1057000,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,5.960464477539063e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1073000,INSC,1.4785921573638916,1.4785921573638916,1.478592038154602,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1073000,COEF_t,308.1221923828125,308.1221923828125,308.1221618652344,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1073000,SQ_t,1.496551275253296,4.463996410369873,2.5082874298095703,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1073000,SMSC,211.42015075683594,211.42015075683594,211.42015075683594,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1073000,SUB_t,0.0028399121947586536,0.9919629096984863,0.2900645434856415,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1073000,INTER_t,0.00039031042251735926,0.02617398276925087,0.008680073544383049,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1073000,RECH_t,0.0062193721532821655,0.9967697858810425,0.7012553811073303,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1073000,CRAK_t,0.0062193721532821655,0.9967697858810425,0.7012553811073303,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1073000,K_t,0.08301878720521927,0.08301878720521927,0.08301878720521927,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1073000,LG_t,0.05308853089809418,0.05351190268993378,0.0532383918762207,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1073000,TT,-0.9292025566101074,-0.9292025566101074,-0.9292026162147522,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1073000,CFMAX_t,2.0789780616760254,4.45485782623291,2.131610155105591,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1073000,CFR,0.04944451153278351,0.04944451153278351,0.04944450780749321,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1073000,CWH,0.012610386125743389,0.012610386125743389,0.012610385194420815,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1073000,SG_CRIT,92.01821899414062,92.01821899414062,92.01821899414062,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1073000,partition_sum_error,0.0,1.1920928955078125e-07,2.9757465824786777e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1073000,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1073000,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,5.960464477539063e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1078000,INSC,1.6877573728561401,1.6877573728561401,1.6877573728561401,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1078000,COEF_t,284.3428649902344,284.3428649902344,284.34283447265625,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1078000,SQ_t,1.9494402408599854,5.176405906677246,3.08857798576355,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1078000,SMSC,178.1228485107422,178.1228485107422,178.122802734375,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1078000,SUB_t,0.001982118934392929,0.9413353204727173,0.31275296211242676,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1078000,INTER_t,0.0003512477851472795,0.03752928972244263,0.012151859700679779,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1078000,RECH_t,0.046597257256507874,0.9976518750190735,0.6750951409339905,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1078000,CRAK_t,0.046597257256507874,0.9976518750190735,0.6750951409339905,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1078000,K_t,0.08928573131561279,0.08928573131561279,0.08928573131561279,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1078000,LG_t,0.06093104928731918,0.06165088713169098,0.06116914749145508,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1078000,TT,-0.8526098728179932,-0.8526098728179932,-0.8526097536087036,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1078000,CFMAX_t,2.0678048133850098,4.429636001586914,2.1264901161193848,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1078000,CFR,0.049256473779678345,0.049256473779678345,0.049256473779678345,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1078000,CWH,0.014832863584160805,0.014832863584160805,0.01483286265283823,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1078000,SG_CRIT,110.990966796875,110.990966796875,110.990966796875,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1078000,partition_sum_error,0.0,1.1920928955078125e-07,2.7410134606498104e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1078000,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1078000,unit_hydrograph_sum_error_max,0.0,1.7881393432617188e-07,1.043081283569336e-07,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1118300,INSC,2.6091525554656982,2.6091525554656982,2.609152317047119,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1118300,COEF_t,313.392578125,313.392578125,313.392578125,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1118300,SQ_t,1.5803852081298828,4.372824668884277,2.756296157836914,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1118300,SMSC,197.90158081054688,197.90158081054688,197.90159606933594,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1118300,SUB_t,0.0025897936429828405,0.9913039207458496,0.236047625541687,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1118300,INTER_t,0.00044979830272495747,0.03254289925098419,0.009140020236372948,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1118300,RECH_t,0.0053376504220068455,0.9969604015350342,0.7548123002052307,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1118300,CRAK_t,0.0053376504220068455,0.9969604015350342,0.7548123002052307,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1118300,K_t,0.08464114367961884,0.08464114367961884,0.08464115113019943,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1118300,LG_t,0.05488942563533783,0.055379316210746765,0.05508023500442505,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1118300,TT,-1.2637279033660889,-1.2637279033660889,-1.2637280225753784,-2.5,2.5,0
